1843;3529;743;27
1812;3031;598;25
1959;3561;691;29
1889;3037;605;24
1941;3087;640;31
2009;3132;571;24
1948;2868;688;25
1921;3164;652;29
2038;3174;670;26
2020;3174;729;30
1814;3255;762;22
2151;3185;661;25
1826;2987;625;25
2073;3556;691;28
1960;3291;674;30
1921;3592;649;27
2082;3642;691;29
1826;2945;625;22
1908;3264;647;22
1801;3211;648;26
1797;2957;615;21
1824;3007;619;25
1820;2984;651;25
1970;3197;648;26
1804;3203;746;22
2044;3447;714;22
1839;3186;636;23
1947;3187;641;27
1921;3112;612;23
1863;2959;605;25
1799;2973;607;26
2098;3163;585;25
1879;3447;955;34
1816;2935;695;20
1818;2993;628;43
1794;2927;660;23
1816;3050;599;21
1835;3386;680;25
1835;2959;656;25
1823;2957;633;26
1925;2897;661;24
2064;4094;735;26
1888;3250;700;28
1876;2917;639;25
1955;3158;702;26
1902;3420;725;30
1821;2947;665;26
1861;2680;648;23
1803;2976;645;25
1907;3365;704;31
2018;3257;768;26
1958;3178;614;25
1846;3272;731;29
2201;3755;775;24
2014;3424;673;28
1905;3817;758;35
1845;2727;613;26
1852;3015;657;26
1788;3153;703;26
1015;300;515;20
1927;2961;656;24
1975;3255;687;25
2078;3319;694;25
2036;3129;653;25
2031;3195;634;26
1863;3036;593;25
1829;3032;616;26
1796;3437;717;27
1928;2932;649;26
1915;3450;689;27
1838;3016;610;25
1880;3087;627;25
1821;3095;587;23
1809;3001;596;24
1840;3053;686;26
2016;3163;612;26
1810;2969;644;23
1801;3068;623;25
2136;4002;782;28
1916;3361;703;27
1980;6660;1079;71
1852;3191;647;26
1969;3234;694;25
1838;3074;616;26
2135;3616;643;27
1809;3106;682;27
1835;3225;651;24
1917;3297;706;26
1872;3401;636;23
1843;3254;640;26
1858;3091;682;22
1843;3028;668;31
1989;3371;677;23
1926;3199;636;25
1977;3094;630;26
2135;3200;703;24
2087;3409;732;25
2097;3238;696;25
1918;3226;701;25
1949;3357;662;26
2005;3410;688;27
1972;3210;664;24
2119;3227;675;35
1894;3027;619;26
2126;3171;864;27
1804;3207;716;25
1988;2879;702;21
2073;3270;712;32
1866;3068;632;25
2149;3590;700;25
1866;3091;629;24
2044;3397;680;24
1899;3129;713;27
1831;3389;717;27
1952;3315;604;22
2089;3895;695;23
1887;3347;710;21
2027;3432;617;29
2139;3313;594;26
1851;3098;637;22
2009;3100;625;43
2155;3588;690;32
1889;3063;688;25
1846;3211;698;26
1968;3670;853;42
1818;2957;593;25
2007;3174;651;23
2012;3118;726;28
1900;4307;766;27
1860;3261;671;24
1839;2991;606;24
2001;3366;645;23
2271;4516;856;37
1838;2943;614;24
2056;3324;688;31
2016;3835;708;28
1799;2770;694;27
1950;2829;683;31
1800;2735;618;25
1879;2743;659;27
1995;2718;704;22
1891;2654;691;28
2018;2681;608;43
1900;2875;663;27
1823;2590;631;22
2023;3083;695;26
1796;2790;667;49
3183;3531;693;26
1915;3102;588;25
2115;2958;608;21
2026;3713;699;26
1821;3122;724;29
2745;3444;596;29
1880;3032;670;30
1930;3292;659;26
2034;3525;735;24
1962;3106;609;25
1831;3104;647;26
2012;3360;739;27
1959;3304;632;29
1908;3547;696;39
1973;3134;787;25
1846;2842;657;26
1907;3190;662;24
1871;3092;658;26
1867;3116;650;24
1966;3243;722;25
1964;3096;610;24
1895;3114;658;21
2099;3629;651;24
1971;2986;614;23
2090;2991;655;24
1993;2858;671;25
2137;4213;712;30
2226;3194;656;27
2243;3268;656;27
1815;2926;638;26
2157;3307;658;27
2072;3463;620;26
2028;2893;822;22
1798;3149;671;25
1813;3163;745;31
1829;3090;683;24
2132;4620;952;67
2080;4239;775;30
1912;3000;671;27
2041;3410;772;35
1853;3182;610;24
2983;3056;583;22
2007;3530;662;24
1907;3116;656;25
1881;3330;650;29
1923;3420;733;30
1977;3234;671;23
2061;3294;698;45
2037;3477;656;24
1805;2992;689;22
1826;2975;644;24
1808;2947;598;24
1780;3155;650;25
1821;3066;629;24
1794;3153;638;25
1813;2940;589;23
1914;3047;679;24
1929;2998;597;21
1959;3611;669;30
2168;3630;697;20
1870;3209;735;45
2072;3833;847;54
2009;3171;626;24
1983;3620;761;27
1975;3340;768;32
1824;3061;623;24
2040;3999;699;26
1999;3566;745;25
1815;3113;630;27
1842;3209;624;22
1944;3353;645;21
1887;3189;865;28
2086;4473;878;44
1899;3165;717;22
2153;3795;759;44
2123;3622;898;25
2067;3544;646;22
1930;3300;640;21
1847;3471;731;21
1947;2869;686;25
2133;3476;751;24
2020;3564;677;29
1936;3464;654;20
1898;3626;716;25
2079;3889;729;30
2093;3416;625;20
2024;3585;672;23
1906;3141;706;22
2035;3386;695;23
1935;3314;712;20
2097;3329;664;30
1984;3229;582;42
2095;3718;761;37
1903;3413;696;27
2036;3569;800;30
1809;3116;646;25
1934;3330;719;25
2002;3590;754;31
2037;3150;711;26
1965;3437;669;45
1913;3418;658;22
1927;3246;713;24
1998;3737;727;28
1853;3375;784;20
1855;3432;774;31
1930;3218;684;26
1935;3293;693;25
1902;3559;683;27
1924;3696;759;37
2089;3509;741;49
2014;3641;649;22
2058;2958;731;31
1838;3872;757;27
1853;3267;697;48
1813;3017;627;25
1949;3142;638;25
1818;3242;660;26
2072;3679;679;27
2132;3724;629;26
1819;3017;673;27
1918;3017;850;35
2151;3810;688;24
1933;3461;706;33
2125;4058;820;43
